;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300;320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
510;530;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;
490;670;630;440;;;;;;;;;;;;;;;;;;;;;;;;;;;
700;680;970;1190;1180;;;;;;;;;;;;;;;;;;;;;;;;;;
980;980;1260;1480;1420;380;;;;;;;;;;;;;;;;;;;;;;;;;
1240;1230;1530;1740;1670;650;260;;;;;;;;;;;;;;;;;;;;;;;;
1210;1100;1120;1310;1690;1740;2030;2300;;;;;;;;;;;;;;;;;;;;;;;
1060;900;920;1080;1540;1550;1840;2110;300;;;;;;;;;;;;;;;;;;;;;;
1300;1150;1180;1340;1750;1800;2090;2360;180;280;;;;;;;;;;;;;;;;;;;;;
1040;940;920;1010;1530;1600;1890;2160;480;180;430;;;;;;;;;;;;;;;;;;;;
1900;1760;1790;1850;2290;2420;2710;2980;780;900;620;995;;;;;;;;;;;;;;;;;;;
1430;1400;1230;1290;1730;2010;2300;2570;740;590;580;440;570;;;;;;;;;;;;;;;;;;
440;340;330;570;930;995;1290;1560;830;640;890;650;1500;1060;;;;;;;;;;;;;;;;;
700;720;420;430;870;1360;1660;1930;960;680;940;590;1430;870;450;;;;;;;;;;;;;;;;
1470;1450;1210;1220;1660;2110;2400;2670;1100;890;920;730;910;340;1180;810;;;;;;;;;;;;;;;
1200;1150;890;940;1340;1800;2090;2360;840;550;750;380;920;360;860;520;350;;;;;;;;;;;;;;
2120;2100;1850;1870;2310;2760;3050;3320;1450;1360;1280;1210;870;830;1830;1450;670;995;;;;;;;;;;;;;
2340;2320;2070;2080;2520;2970;3270;3530;1900;1750;1720;1590;1420;1200;2050;1670;880;1210;560;;;;;;;;;;;;
2700;2680;2420;2450;2890;3340;3630;3900;2020;1940;1850;1780;1470;1360;2410;2030;1250;1570;580;480;;;;;;;;;;;
1750;1780;1470;1280;1670;2430;2720;2990;1700;1400;1620;1280;1780;1210;1580;1150;890;880;1360;940;1410;;;;;;;;;;
1800;1830;1520;1340;1700;2480;2770;3040;1980;1680;1940;1530;2060;1500;1630;1210;1200;1190;1660;1220;1720;320;;;;;;;;;
2130;2140;1840;1660;2050;2790;3080;3350;1860;1650;1680;1500;1600;1150;1860;1490;840;1120;1110;580;1040;380;680;;;;;;;;
2670;2650;2400;2180;2570;3310;3600;3870;2380;2170;2190;2010;2110;1670;2380;2000;1390;1640;1370;820;1240;900;920;530;;;;;;;
3650;3670;3370;3210;3270;4320;4620;4880;4230;3950;4160;3760;4490;3930;3750;3320;3830;3580;3600;3040;3460;2400;2090;2730;2230;;;;;;
1080;1100;790;600;970;1750;2040;2310;1390;1090;1330;920;1650;1090;910;480;990;740;1650;1640;2100;700;750;1070;1590;2840;;;;;
1500;1520;1210;1050;1120;2160;2460;2720;2030;1750;1970;1560;2290;1730;1550;1120;1640;1380;2290;1920;2390;980;880;1360;1790;2180;650;;;;
1700;1720;1410;1250;1320;2370;2670;2930;2270;1990;2210;1800;2530;1970;1790;1360;1870;1620;2530;2130;2600;1200;1080;1570;2000;1970;890;230;;;
1150;1200;910;740;670;1860;2060;2330;1960;1680;1950;1610;2370;1810;1240;1040;1710;1460;2360;2370;2840;1440;1450;1810;2330;2600;740;440;640;;
3170;3200;2900;2730;2800;3850;4140;4410;3920;3640;3860;3450;4180;3620;3230;3010;3520;3270;4170;3940;4410;3000;2890;3380;3810;2750;2540;1910;1740;2120;
